S.No.;Kullanim Amaci;Stok No.;"Malzemenin 
Ad?";Malzeme De?i?im Periyodu;"Ana 
Malzemesi";Ana Malzeme Miktar?-y;Araç Ba??na Kullan?m Miktar?-z;Yil Ici Istek Yapma Sayisi-k;"t y?l? ?stek Miktar?-04 istegi
c=b-a";t y?l? ?stek Miktar?-05 istegi-d;t y?l? ?stek Miktar?-06 istegi-e;"t+1 y?l? ?stek Miktar?-04 istegi
i";t+1 y?l? ?stek Miktar?-05 istegi-j;t+1 y?l? ?stek Miktar?-06 istegi-l;"Brl.
?htiyaç Miktar?
a=y*z";Depo Mevcudu-b;"Son ihtiyaç Miktar?
c=(b-a)+(b-?)+(e-j)+l";Birim Fiyati;Kaynak Ihtiyac Miktari
78; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-559-1689 - 2815015591689;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
79; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-577-0448 - 2815015770448;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
80; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-577-1838 - 2815015771838;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
81; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-517-1809 - 2815015171809;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
82; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-539-8274 - 2815015398274;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
83; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-545-6000 - 2815015456000;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
84; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-555-5436 - 2815015555436;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
85; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-562-6787 - 2815015626787;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
86; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-564-1322 - 2815015641322;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
87; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-565-0912 - 2815015650912;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
